Metric,Median (P50),95th Pct (P95),99th Pct (P99)
Residual TA  open-loop  (µs),3.19,3.65,3.69
Residual TA  closed-loop (µs),0.45,0.49,0.50
Residual CFO open-loop  (Hz),810.80,854.20,858.60
Residual CFO closed-loop (Hz),72.10,76.60,76.90
