Metric,Model-Driven (Engine),Measured (Pi Ping),Deviation
One-way Delay (ms),32.66 ± 8.55,4.20 ± 1.48,-87.2%
Packet Loss (%),0.501 ± 0.829,1.1 ± 3.1,+113.4%
Jitter / mdev (ms),1.31 ± 0.34,4.73 ± 8.77,+261.8%
