Metric,Edge-AI (A),Baseline (B),Improvement
Aggregate Throughput (Mbps),188.82 ± 12.28,0.00 ± 0.00,N/A
Mean Latency (ms),34.40 ± 0.81,10.00 ± 0.00,--244.0%
95th-Pct Latency (ms),52.24 ± 5.07,10.00 ± 0.00,—
Handover Success Rate (%),66.67 ± 57.74,0.00 ± 0.00,—
