Metric,Model-Driven (Engine),Measured (Pi Ping),Deviation
One-way Delay (ms),31.72 ± 8.06,5.64 ± 1.99,-82.2%
Packet Loss (%),0.521 ± 0.852,1.1 ± 3.1,+103.8%
Jitter / mdev (ms),1.27 ± 0.32,8.93 ± 9.71,+603.6%
